2015-12-10 21:00:26 status half-installed libaudit-common:all 1:2.4-1
2015-12-10 21:00:26 status unpacked libaudit-common:all 1:2.4-1
2015-12-10 21:00:26 status unpacked libaudit-common:all 1:2.4-1
2015-12-10 21:00:26 install libaudit1:amd64 <none> 1:2.4-1+b1
2015-12-10 21:00:26 status half-installed libaudit1:amd64 1:2.4-1+b1
2015-12-10 21:00:26 status unpacked libaudit1:amd64 1:2.4-1+b1
2015-12-10 21:00:26 status unpacked libaudit1:amd64 1:2.4-1+b1
2015-12-10 21:00:26 upgrade base-files:amd64 8+deb8u2 8+deb8u2
2015-12-10 21:00:26 status half-configured base-files:amd64 8+deb8u2
2015-12-10 21:00:26 status unpacked base-files:amd64 8+deb8u2
2015-12-10 21:00:26 status half-installed base-files:amd64 8+deb8u2
2015-12-10 21:00:27 status half-installed base-files:amd64 8+deb8u2
2015-12-10 21:00:27 status unpacked base-files:amd64 8+deb8u2
2015-12-10 21:00:27 status unpacked base-files:amd64 8+deb8u2
2015-12-10 21:00:27 upgrade base-passwd:amd64 3.5.37 3.5.37
2015-12-10 21:00:27 status half-configured base-passwd:amd64 3.5.37
2015-12-10 21:00:27 status unpacked base-passwd:amd64 3.5.37
2015-12-10 21:00:27 status half-installed base-passwd:amd64 3.5.37
2015-12-10 21:00:27 status half-installed base-passwd:amd64 3.5.37
2015-12-10 21:00:27 status unpacked base-passwd:amd64 3.5.37
2015-12-10 21:00:27 status unpacked base-passwd:amd64 3.5.37
2015-12-10 21:00:27 install bash:amd64 <none> 4.3-11+b1
2015-12-10 21:00:27 status half-installed bash:amd64 4.3-11+b1
2015-12-10 21:00:28 status unpacked bash:amd64 4.3-11+b1
2015-12-10 21:00:28 status unpacked bash:amd64 4.3-11+b1
2015-12-10 21:00:28 install libbz2-1.0:amd64 <none> 1.0.6-7+b3
2015-12-10 21:00:28 status half-installed libbz2-1.0:amd64 1.0.6-7+b3
2015-12-10 21:00:28 status unpacked libbz2-1.0:amd64 1.0.6-7+b3
2015-12-10 21:00:28 status unpacked libbz2-1.0:amd64 1.0.6-7+b3
2015-12-10 21:00:28 install libdebconfclient0:amd64 <none> 0.192
2015-12-10 21:00:28 status half-installed libdebconfclient0:amd64 0.192
2015-12-10 21:00:29 status unpacked libdebconfclient0:amd64 0.192
2015-12-10 21:00:29 status unpacked libdebconfclient0:amd64 0.192
2015-12-10 21:00:29 install coreutils:amd64 <none> 8.23-4
2015-12-10 21:00:29 status half-installed coreutils:amd64 8.23-4
